105	
0.01	1.36E-01
0.011	1.41E-01
0.012	1.46E-01
0.013	1.51E-01
0.014	1.56E-01
0.015	1.60E-01
0.016	1.65E-01
0.017	1.69E-01
0.018	1.74E-01
0.02	1.82E-01
0.0225	1.93E-01
0.025	2.03E-01
0.0275	2.12E-01
0.03	2.22E-01
0.0325	2.31E-01
0.035	2.40E-01
0.0375	2.48E-01
0.04	2.57E-01
0.045	2.73E-01
0.05	2.89E-01
0.055	3.04E-01
0.06	3.18E-01
0.065	3.32E-01
0.07	3.45E-01
0.08	3.71E-01
0.09	3.94E-01
0.1	4.16E-01
0.11	4.36E-01
0.12	4.55E-01
0.13	4.73E-01
0.14	4.89E-01
0.15	5.04E-01
0.16	5.18E-01
0.17	5.31E-01
0.18	5.43E-01
0.2	5.66E-01
0.225	5.90E-01
0.25	6.12E-01
0.275	6.31E-01
0.3	6.48E-01
0.325	6.64E-01
0.35	6.78E-01
0.375	6.91E-01
0.4	7.03E-01
0.45	7.23E-01
0.5	7.40E-01
0.55	7.53E-01
0.6	7.64E-01
0.65	7.73E-01
0.7	7.79E-01
0.8	7.87E-01
0.9	7.90E-01
1	7.89E-01
1.1	7.85E-01
1.2	7.78E-01
1.3	7.70E-01
1.4	7.61E-01
1.5	7.51E-01
1.6	7.41E-01
1.7	7.30E-01
1.8	7.19E-01
2	6.97E-01
2.25	6.70E-01
2.5	6.44E-01
2.75	6.19E-01
3	5.95E-01
3.25	5.74E-01
3.5	5.53E-01
3.75	5.34E-01
4	5.17E-01
4.5	4.85E-01
5	4.56E-01
5.5	4.31E-01
6	4.09E-01
6.5	3.89E-01
7	3.71E-01
8	3.41E-01
9	3.19E-01
10	2.98E-01
11	2.80E-01
12	2.65E-01
13	2.52E-01
14	2.39E-01
15	2.29E-01
16	2.19E-01
17	2.10E-01
18	2.02E-01
20	1.88E-01
22.5	1.73E-01
25	1.61E-01
27.5	1.50E-01
30	1.41E-01
32.5	1.33E-01
35	1.26E-01
37.5	1.20E-01
40	1.15E-01
45	1.05E-01
50	9.71E-02
55	9.04E-02
60	8.47E-02
65	7.98E-02
70	7.54E-02
80	6.82E-02
90	6.23E-02
100	5.75E-02

